25::10::2022 18:25:05 [main] INFO  com.exhibit.dao.UserDao  findByLogin problems with findByUser
25::10::2022 18:48:35 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:49:46 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:51:28 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:51:50 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:52:37 [main] INFO  com.exhibit.dao.ConnectionPool  getConnection Problems with getConnection
25::10::2022 18:53:22 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:53:53 [main] INFO  com.exhibit.dao.ConnectionPool  getConnection Problems with getConnection
25::10::2022 18:54:06 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 18:55:04 [main] INFO  com.exhibit.dao.ConnectionPool  getConnection Problems with getConnection
25::10::2022 18:55:44 [main] INFO  com.exhibit.dao.ConnectionPool  commitAndClose Problems with close connection
25::10::2022 19:16:46 [main] ERROR com.exhibit.dao.UserDao  findByLogin Problems user findByLogin
25::10::2022 19:17:21 [main] ERROR com.exhibit.dao.UserDao  findByLogin admin
25::10::2022 19:17:51 [main] INFO  com.exhibit.dao.UserDao  findByLogin admin
25::10::2022 19:42:14 [main] INFO  com.exhibit.dao.UserDao  update Problems with user update
25::10::2022 19:43:05 [main] INFO  com.exhibit.dao.UserDao  update Problems with user update
25::10::2022 19:43:55 [main] INFO  com.exhibit.dao.UserDao  update Problems with user update
25::10::2022 19:47:12 [main] INFO  com.exhibit.dao.UserDao  update Problems with user update
25::10::2022 19:47:12 [main] INFO  com.exhibit.dao.UserDao  buyTicket Problems with user buyTicket
25::10::2022 19:48:03 [main] INFO  com.exhibit.dao.UserDao  update Problems with user update
25::10::2022 19:48:03 [main] INFO  com.exhibit.dao.UserDao  buyTicket Problems with user buyTicket
25::10::2022 20:01:38 [main] ERROR com.exhibit.dao.UserDao  delete Problems with user delete
25::10::2022 23:39:55 [main] ERROR com.exhibit.dao.UserDao  findByLogin java.sql.SQLException: Parameter index out of range (3 > number of parameters, which is 1).
26::10::2022 00:17:26 [main] ERROR com.exhibit.dao.UserDao  delete Problems with user delete
26::10::2022 22:29:04 [main] ERROR com.exhibit.dao.impl.HallDao  getHallByExhibitionId java.sql.SQLException: Column 'id' not found.
26::10::2022 22:41:44 [main] ERROR com.exhibit.dao.impl.HallDao  getHallByExhibitionId java.sql.SQLException: Column 'id' not found.
27::10::2022 00:59:20 [main] ERROR com.exhibit.dao.impl.ExhibitionDao  add Problems with exhibition input
